Epoch,Accuracy,TP,TN,FP,FN,TPR,TNR
6004,0.7730673551559448,133,177,42,49,0.7307692307692307,0.8082191780821918
6005,0.7564102411270142,121,174,33,62,0.6612021857923497,0.8405797101449275
6501,0.7506234645843506,129,172,47,53,0.7087912087912088,0.7853881278538812
6502,0.75,119,169,37,59,0.6685393258426966,0.8203883495145631
6503,0.8093994855880737,139,171,39,34,0.8034682080924855,0.8142857142857143
6504,0.8029925227165222,139,183,36,43,0.7637362637362637,0.8356164383561644
6505,0.7923076748847961,132,177,30,51,0.7213114754098361,0.855072463768116
7001,0.7182044982910156,121,167,52,61,0.6648351648351648,0.7625570776255708
7002,0.7838541865348816,131,170,36,47,0.7359550561797753,0.8252427184466019
7003,0.7389034032821655,107,176,34,66,0.6184971098265896,0.8380952380952381
7004,0.7680798172950745,130,178,41,52,0.7142857142857143,0.8127853881278538
7005,0.7769230604171753,130,173,34,53,0.7103825136612022,0.8357487922705314
7501,0.7506234645843506,133,168,51,49,0.7307692307692307,0.7671232876712328
7502,0.7916666865348816,134,170,36,44,0.7528089887640449,0.8252427184466019
7503,0.7389034032821655,111,172,38,62,0.6416184971098265,0.819047619047619
7504,0.7855361700057983,138,177,42,44,0.7582417582417582,0.8082191780821918
7505,0.764102578163147,125,173,34,58,0.6830601092896175,0.8357487922705314
8001,0.7356608510017395,128,167,52,54,0.7032967032967034,0.7625570776255708
8002,0.7838541865348816,131,170,36,47,0.7359550561797753,0.8252427184466019
8003,0.7441253066062927,110,175,35,63,0.6358381502890174,0.8333333333333334
8004,0.7705735564231873,130,179,40,52,0.7142857142857143,0.817351598173516
