Epoch,Accuracy,TP,TN,FP,FN,TPR,TNR
6001,0.6504064798355103,265,55,142,30,0.8983050847457628,0.27918781725888325
6002,0.6032063961029053,243,58,152,46,0.8408304498269896,0.2761904761904762
6003,0.6015325784683228,260,54,171,37,0.8754208754208754,0.24
6004,0.642276406288147,265,51,149,27,0.9075342465753424,0.255
6005,0.6452905535697937,256,66,148,29,0.8982456140350877,0.308411214953271
6501,0.6585366129875183,273,51,146,22,0.9254237288135593,0.25888324873096447
6502,0.609218418598175,249,55,155,40,0.8615916955017301,0.2619047619047619
6503,0.6302682161331177,269,60,165,28,0.9057239057239057,0.26666666666666666
6504,0.6260162591934204,256,52,148,36,0.8767123287671232,0.26
6505,0.6472945809364319,259,64,150,26,0.9087719298245615,0.29906542056074764
7001,0.6341463327407837,255,57,140,40,0.864406779661017,0.2893401015228426
7002,0.609218418598175,243,61,149,46,0.8408304498269896,0.2904761904761905
7003,0.5996168851852417,264,49,176,33,0.8888888888888888,0.21777777777777776
7004,0.6443089246749878,253,64,136,39,0.8664383561643836,0.32
7005,0.6392785310745239,252,67,147,33,0.8842105263157894,0.3130841121495327
7501,0.6443089246749878,258,59,138,37,0.8745762711864407,0.29949238578680204
7502,0.6192384958267212,246,63,147,43,0.8512110726643599,0.3
7503,0.6302682161331177,267,62,163,30,0.898989898989899,0.27555555555555555
7504,0.6605691313743591,263,62,138,29,0.9006849315068494,0.31
7505,0.625250518321991,243,69,145,42,0.8526315789473684,0.32242990654205606
8001,0.6829268336296082,272,64,133,23,0.9220338983050848,0.3248730964467005
8002,0.671342670917511,268,67,143,21,0.9273356401384083,0.319047619047619
8003,0.6015325784683228,260,54,171,37,0.8754208754208754,0.24
8004,0.6483739614486694,255,64,136,37,0.8732876712328768,0.32
8005,0.6072144508361816,245,58,156,40,0.8596491228070176,0.27102803738317754
8501,0.6890243887901306,277,62,135,18,0.9389830508474576,0.3147208121827411
8502,0.6372745633125305,256,62,148,33,0.8858131487889274,0.29523809523809524
8503,0.6053639650344849,257,59,166,40,0.8653198653198653,0.26222222222222225
