ND,DC,EC,LC,CC,BC,FR
" Lu Xy, 1996, J FLUID STRUCT",0.00020483408439164277,0.0003810757643651743,0.0,0.11382872065098278,0.0,0
" Inanici Mn, 2006, LIGHTING RES TECHNOL",0.00020483408439164277,9.065669630396694e-15,0.0,0.06412125510592748,0.0,0
" Velarde Mg, 2012, PHYSICOCHEMICAL HYDR",0.00020483408439164277,1.7068769855001052e-12,0.0,0.06007358460383674,0.0,0
" Sunnam R, 2014, CHALLENGES INTERPRET",0.00020483408439164277,1.3883358802864816e-10,0.0,0.08003672311753036,0.0,0
" Brock Td, 1981, ECOL MODEL",0.00020483408439164277,3.282950953174576e-12,0.0,0.07468828883959305,0.0,0
" [Anonymous], 2015, SIA 38",0.00020483408439164277,1.0349325710265272e-17,0.0,0.05070680002908215,0.0,0
" Gasparrini A, 2015, LANCET",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Hertwich Eg, 2005, J IND ECOL",0.00020483408439164277,8.800447255136043e-12,0.0,0.07049310519096094,0.0,0
"[Anonymous], 1966, J COLLOID INTERF SCI",0.00020483408439164277,1.9397333162605193e-09,0.0,0.07782188003124352,0.0,0
" Busch Ne, 1968, Q J ROY METEOR SOC",0.00020483408439164277,1.2461330473394521e-05,0.0,0.10576943908832896,0.0,0
" Ruelens F, 2015, ENERGIES",0.00020483408439164277,8.787795807950864e-06,0.0,0.10504120317576436,0.0,0
" Khalid R, 2019, J ELECTRON PACKAGING",0.00020483408439164277,9.617744260874932e-12,0.0,0.08351437808987804,0.0,0
" Almeida I, 2021, HEAT WAVE SENDS EUR",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Blanco-Rodriguez Fj, 2016, J FLUID MECH",0.00020483408439164277,5.731033721224685e-07,0.0,0.09897216534555112,0.0,0
" Groth Tm, 2014, RENEW ENERG",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Shaw Rh, 1992, BOUND-LAY METEOROL",0.00020483408439164277,2.5331602491978744e-06,0.0,0.10124219738288298,0.0,0
" Shi Y, 2018, URBAN CLI",0.00020483408439164277,7.619238294009592e-10,0.0,0.09472438347659054,0.0,0
" Carbon Trust, 2020, FLOAT WIND JOINT IN",0.00020483408439164277,8.190877348041268e-08,0.0,0.09854861826036053,0.0,0
" Ryu Yh, 2012, J APPL METEOROL CLIM",0.00020483408439164277,1.2515328795044264e-08,0.0,0.10552709508678641,0.0,0
" Chitnis M, 2014, ECOL ECON",0.00040966816878328555,9.840334349436888e-12,0.0028171506013544272,0.0706502076670381,0.0028171506013544272,0
" Shandas V, 2019, CLIMATE",0.00020483408439164277,7.619238294009592e-10,0.0,0.09472438347659054,0.0,0
"Adams As, 2013, ENVIRON RES LETT",0.00020483408439164277,0.0009668082491892344,0.0,0.1057007383029857,0.0,0
" Asadi I, 2017, FACILITIES",0.00040966816878328555,6.645888652836688e-09,0.0002283727823917675,0.09574989703257693,0.0003092832315950534,0
" Schregle R, 2015, SOL ENERGY",0.00020483408439164277,1.6163303764399795e-16,0.0,0.06139258812137674,0.0,0
"Hoffmann C1, 2021, J PHYS CONF SER",0.0006145022531749283,9.04667523307994e-09,0.0008192524063703443,0.10448144501990327,0.0008192524063703443,1
" Li Y, 2020, BUILD ENVIRON",0.00020483408439164277,1.4639940179668956e-10,0.0,0.08269110249157337,0.0,0
" Enevoldsen P, 2019, ENERGY SUSTAIN DEV",0.00020483408439164277,0.0026586540056018114,0.0,0.09280486645756107,0.0,0
" Patankar S, 1980, NUMERICAL HEAT TRAN",0.00020483408439164277,1.1345059053813461e-07,0.0,0.11601435327107246,0.0,0
"Houtin-Mongrolle F1, 2021, J PHYS CONF SER",0.0043015157722244984,0.00439101931668747,0.049015975384882046,0.13965329824360662,0.05041056714211565,0
" Rajaratnam S, 2013, MED J AUSTRALIA",0.00020483408439164277,3.264736098016788e-16,0.0,0.05549303779482807,0.0,0
" The Carbon Trust, PHAS 2 REP 202",0.00020483408439164277,5.738646770750497e-06,0.0,0.09589659981535681,0.0,0
"Lei N1, 2022, RESOUR CONSERV RECY",0.015772224498156493,1.2084742763123548e-10,0.033710922998918716,0.09112289084664775,0.033710922998918716,0
" Afroz Z, 2018, RENEW SUST ENERG REV",0.00020483408439164277,1.317534539721893e-08,0.0,0.08715522627867535,0.0,0
" Christ M, 2018, NEUROCOMPUTING",0.00020483408439164277,7.721152558276816e-08,0.0,0.0954354413058352,0.0,0
"Auliciems A, 1981, INT J BIOMETEOROL",0.00020483408439164277,1.7849695456984615e-11,0.0,0.0816784059159124,0.0,0
" Huppert He, 1984, ANNU REV EARTH PL SC",0.00020483408439164277,1.164468863033975e-05,0.0,0.10424718669257543,0.0,0
"Lyubimova Tp1, 2021, J PHYS CONF SER",0.003482179434657927,8.065890372884872e-13,0.006544618956985346,0.06359586275173905,0.006544618956985346,0
" Mayer H, 1987, THEOR APPL CLIMATOL",0.00020483408439164277,1.0377821200412728e-09,0.0,0.09967944137043919,0.0,0
" Castillo-Castellanos A, 2021, J PHYS CONF SER",0.00020483408439164277,3.7031239747260596e-05,0.0,0.12071310239101946,0.0,0
" Sung Wt, 2019, J SENSORS",0.00020483408439164277,6.969472216500429e-11,0.0,0.0909446545332613,0.0,0
" Frandsen S T, 2005, R1188EN RI",0.00020483408439164277,1.1668056733511443e-05,0.0,0.09258662216237744,0.0,0
" Li D, 2017, BUILD ENVIRON",0.00040966816878328555,6.645888652836688e-09,0.0002283727823917675,0.09574989703257693,0.0003092832315950534,0
" Roth J, 2020, APPL ENERG",0.00020483408439164277,1.4994070256027432e-07,0.0,0.10884444741711814,0.0,0
" Sant T, 2006, WIND ENERGY",0.00020483408439164277,0.00030708046145245453,0.0,0.11115411762027276,0.0,0
" Archer Cl, 2020, MON WEATHER REV",0.00040966816878328555,0.0014939350791063769,0.0001629450025971908,0.10968568154755218,0.00016966522169835956,0
" Orosa Ja, 2011, RENEW ENERG",0.00020483408439164277,6.969472216500429e-11,0.0,0.0909446545332613,0.0,0
" Jiang R, 2019, TRANSPORT RES D-TR E",0.00020483408439164277,3.1595707175798164e-12,0.0,0.0700983559480221,0.0,0
" Zhu Xh, 2019, J ASSOC INF SCI TECH",0.00020483408439164277,4.877516559913434e-11,0.0,0.07866453972704275,0.0,0
" Andronikos T, 2021, AEROSP SCI TECHNOL",0.00020483408439164277,1.112229019164228e-05,0.0,0.10937605018483253,0.0,0
" Hersbach H, 2018, ERA5 HOURLY DATA SIN",0.00020483408439164277,0.0005271268299171423,0.0,0.10951836148686542,0.0,0
" Franzitta V, 2020, ENERGIES",0.00020483408439164277,3.1595707175798164e-12,0.0,0.0700983559480221,0.0,0
" Park S, 2020, SENSORS-BASEL",0.00020483408439164277,8.787795807950864e-06,0.0,0.10504120317576436,0.0,0
" Truong Kv, 2017, AEROSPACE-BASEL",0.00020483408439164277,1.112229019164228e-05,0.0,0.10937605018483253,0.0,0
"Alqatari S, 2020, SCI ADV",0.00020483408439164277,1.164468863033975e-05,0.0,0.10424718669257543,0.0,0
" Giometto Mg, 2016, BOUND-LAY METEOROL",0.00020483408439164277,1.1345059053813461e-07,0.0,0.11601435327107246,0.0,0
" Txdot-Texas Department Of Transportation, 2020, ROADW INV SYS",0.00020483408439164277,0.0026586540056018114,0.0,0.09280486645756107,0.0,0
" Cohen M, 2020, END TO END DEEP MET",0.00020483408439164277,5.02097661496356e-08,0.0,0.1070966326642536,0.0,0
" Sanchez V F, 2017, INT J ENERGY PRODUCT",0.00020483408439164277,2.6119328213081983e-10,0.0,0.08826134904995209,0.0,0
" Reddy G, 2016, P NATL ACAD SCI USA",0.00020483408439164277,0.0003810757643651743,0.0,0.11382872065098278,0.0,0
" Ke Gl, 2017, ADV NEUR IN",0.00020483408439164277,2.0566679306466234e-09,0.0,0.08963225439256797,0.0,0
" Chaviaropoulos P K, 2016, COSTS MODELS V1 02 ",0.00020483408439164277,9.263701130465406e-08,0.0,0.09400573816263262,0.0,0
" Gautam Ms, 2019, INT J MOD PHYS E",0.00020483408439164277,3.5730463859147527e-13,0.0,0.062008611601529255,0.0,0
" Noorman Kj, 1997, GREEN HOUSEHOLD",0.00020483408439164277,8.800447255136043e-12,0.0,0.07049310519096094,0.0,0
" Rock M, 2020, APPL ENERG",0.0008193363375665711,1.3196690653799567e-14,0.018729833956396567,0.055409899326954726,0.018729833956396567,0
" Kristensen L, 1979, BOUND-LAY METEOROL",0.00020483408439164277,1.2461330473394521e-05,0.0,0.10576943908832896,0.0,0
" Nau R, 2020, WHATS GOOD VALUE R ",0.00040966816878328555,9.840334349436888e-12,0.0028171506013544272,0.0706502076670381,0.0028171506013544272,0
" Konis K, 2019, SOL ENERGY",0.00020483408439164277,2.0242355927781093e-11,0.0,0.080732913297283,0.0,0
"Abdelrahman Mm21, 2022, BUILD ENVIRON",0.011675542810323639,5.334218864100406e-08,0.10214622524613064,0.10436976227125021,0.11581273461444173,0
" De Luca F, 2017, P S SIMULATION ARCHI",0.00020483408439164277,1.5521443211577202e-10,0.0,0.08883955380052044,0.0,0
" Xie Sb, 2017, BOUND-LAY METEOROL",0.00020483408439164277,0.00041822110402086774,0.0,0.10776328278480454,0.0,0
" Wiggert M M, 2018, OFFSHORE TIMES OFFS",0.00020483408439164277,1.4403071764868097e-05,0.0,0.07836150302563362,0.0,0
" [Anonymous], 2007, SN ISO 13786200",0.00020483408439164277,1.0349325710265272e-17,0.0,0.05070680002908215,0.0,0
" Davis Re, 1966, CHEM ENG SCI",0.00020483408439164277,1.7068769855001052e-12,0.0,0.06007358460383674,0.0,0
" Ofev, 2020, IND EV EM EFF SUISS",0.00020483408439164277,1.2688574616015623e-14,0.0,0.055352101497749405,0.0,0
" Granderson J, 2017, ENERG BUILDINGS",0.00020483408439164277,1.4994070256027432e-07,0.0,0.10884444741711814,0.0,0
" Haggett C, 2014, SUPPORTING COMMUNIT",0.00020483408439164277,0.04971149808135461,0.0,0.11326357794121059,0.0,0
" Volker Pjh, 2015, GEOSCI MODEL DEV",0.0006145022531749283,0.001516019823177737,0.0005459148259165696,0.1100119431236902,0.0005798278887003896,0
