ND,DC,EC,LC,CC,BC,FR
"Riba Jr1, 2020, INT J ELEC ENG EDUC",0.004470723968849149,0.00010798899238889629,0.03494581454176382,0.11884683943507474,0.03469775345433079,0
"Tejado I1, 9999, INT J ELEC ENG EDUC",0.0037496394577444473,0.00010811870059340359,0.01194957431051568,0.10478752342380462,0.012794522537591476,0
"Wei Mj1, 9999, INT J ELEC ENG EDUC",0.002595904239976925,0.0005040669645432475,0.026308297547008246,0.12238774357526122,0.02654569359541436,0
"Calasan M1, 9999, INT J ELEC ENG EDUC",0.006057109893279492,1.3761318262850777e-07,0.051409405298733994,0.12127466069679586,0.04938176368978947,0
"Alfallaj Fss1, 9999, INT J ELEC ENG EDUC",0.0028843380444188056,1.2535780090300558e-06,0.005473128166328579,0.08536885649561705,0.005473128166328579,0
"Mohammed Mi1, 2019, INT J ELEC ENG EDUC",0.01528699163541967,0.021667711232913837,0.05020052944377242,0.13000112490157112,0.05002594207848363,0
"Zhu Yb1, 9999, INT J ELEC ENG EDUC",0.0017306028266512834,1.240049629217037e-08,0.0031704836822309007,0.08653870154506652,0.0031704836822309007,0
"Zhang Xh1, 9999, INT J ELEC ENG EDUC",0.006345543697721372,2.3029425517471985e-07,0.01897904981003486,0.1116514234187814,0.018343293155455617,0
"Serra Glo1, 2020, INT J ELEC ENG EDUC",0.0034612056533025667,3.952291849789664e-09,0.016348139310740143,0.09117925520723753,0.016348139310740143,0
"Karayaka B1, 9999, INT J ELEC ENG EDUC",0.001586385924430343,3.844205222896278e-07,0.002228587768887704,0.1084522022022022,0.0022468046912928717,0
"Yu Lh1, 9999, INT J ELEC ENG EDUC",0.003605422555523507,1.3274452226550158e-06,0.06059045277984357,0.12974328268842153,0.0616489037981151,0
"Zhong Cl1, 9999, INT J ELEC ENG EDUC",0.0011537352177675222,5.806653976905048e-06,0.02260364998925259,0.13242933537051185,0.021767139985024813,0
"Shin S1, 9999, INT J ELEC ENG EDUC",0.003605422555523507,4.3845957102472915e-06,0.01903862627255521,0.1109617538806209,0.019161508010557028,0
"Li Jh21, 9999, INT J ELEC ENG EDUC",0.0018748197288722237,3.928593918319009e-08,0.0034584598533468243,0.0950722571091672,0.0034584598533468243,0
"Kim Y1, 9999, INT J ELEC ENG EDUC",0.0018748197288722237,1.6150858713892755e-11,0.0034584598533468243,0.08214277252588434,0.0034584598533468243,0
"Premila Tr1, 9999, INT J ELEC ENG EDUC",0.002019036631093164,3.087181769541663e-08,0.0037463944214331155,0.09287187592081649,0.0037463944214331155,0
"Jiang Tj1, 9999, INT J ELEC ENG EDUC",0.0017306028266512834,0.00010912024586835685,0.004100425921241753,0.13300851684186296,0.004587540168048757,0
"Mohamed O1, 9999, INT J ELEC ENG EDUC",0.0014421690222094028,5.184971979840621e-06,0.013446051416374227,0.11180624979844561,0.012484764289381396,0
"Zhang Cc1, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,0.00032072151494398865,0.01607273141126489,0.11301258230653889,0.015532801574939642,0
"Li Yl1, 9999, INT J ELEC ENG EDUC",0.0012979521199884625,3.084968383074809e-08,0.013633548664804743,0.10442771084337349,0.012621928008286275,0
"Li Zc1, 9999, INT J ELEC ENG EDUC",0.005768676088837611,1.9037527016086016e-06,0.03660489675288496,0.12556135013762132,0.035761075997357825,0
"Alves Lf1, 2019, INT J ELEC ENG EDUC",0.004038073262186328,0.00854901480623169,0.06934796801171353,0.14078616096808252,0.06929122795879336,0
"Li K1, 9999, INT J ELEC ENG EDUC",0.0017306028266512834,1.446886729030836e-05,0.012669811009038,0.12743044069540926,0.01191353282228717,0
"Liu Zl1, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,1.6822898143195134e-05,0.02311938472644325,0.1303285467258101,0.025002372222415272,0
"Li Yy1, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,3.3137862466627137e-06,0.0058753441906803615,0.12320978002061196,0.005921721922701911,0
"Bjelica M1, 2018, INT J ELEC ENG EDUC",0.0027401211421978653,4.345099223772734e-07,0.0266667813839832,0.11833976175034987,0.02663535726888818,0
"Xu Ll1, 9999, INT J ELEC ENG EDUC",0.0024516873377559848,5.4547493236479105e-08,0.011222454008521952,0.1123861389348115,0.010529890543837055,0
"Zhu Wz1, 9999, INT J ELEC ENG EDUC",0.0023074704355350445,0.00011839449471686138,0.030481892126056297,0.14099800723900932,0.03296453196589277,0
"Yu Lj1, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,1.1267438997598125e-06,0.005185443216420084,0.10606987701156459,0.005185443216420084,0
"Ghayoor F1, 2020, INT J ELEC ENG EDUC",0.0033169887510816265,3.5421541574012473e-06,0.01944955763604156,0.10924157922929073,0.01891483556368824,0
"Wang K1, 9999, INT J ELEC ENG EDUC",0.003172771848860686,6.164990155907807e-09,0.007910296046742834,0.09159115525849999,0.007910296046742834,0
"Mu X1, 9999, INT J ELEC ENG EDUC",0.001009518315546582,3.4646417816496326e-08,0.0017299787812067966,0.10611208031096012,0.0017299787812067966,0
"Shi Y1, 9999, INT J ELEC ENG EDUC",0.0023074704355350445,1.6652479784708383e-11,0.0043221387485168,0.08214861150601839,0.0043221387485168,0
"Carew N1, 9999, INT J ELEC ENG EDUC",0.0037496394577444473,3.100078105443973e-06,0.014964550214367479,0.12376396672973262,0.016454189376201044,0
"Schleicher A1, 9999, INT J ELEC ENG EDUC",0.0018748197288722237,1.0785229811827323e-06,0.0034584598533468243,0.10123514468420591,0.0034584598533468243,0
"Han Rj1, 9999, INT J ELEC ENG EDUC",0.0027401211421978653,2.278266300480503e-05,0.04046993572810755,0.13778713933709563,0.040522122814261534,0
"Rubia Jj21, 9999, INT J ELEC ENG EDUC",0.003028554946639746,2.778817244168728e-07,0.008295967539250614,0.10143358689291984,0.00853649813062553,0
"Jiang J1, 9999, INT J ELEC ENG EDUC",0.004759157773291029,7.246406285359434e-06,0.027609744359522757,0.13062808484985494,0.029889163062004315,0
"Teng Y1, 9999, INT J ELEC ENG EDUC",0.0028843380444188056,1.69009735219041e-05,0.0068079357218915545,0.12876508820798516,0.0072440288366850975,0
